dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,0.000194
0.020000,0.000000,0.000000,0.001000,0.060000,2.000000,50.000000,0.000168
0.020000,0.000000,0.000000,0.002600,0.100000,2.000000,0.000000,0.000116
0.020000,0.000000,0.000000,0.005000,0.140000,2.000000,0.000000,0.000039
0.020000,0.001974,-0.000000,0.008200,0.180000,2.000000,-0.000000,6.283122
0.020000,0.005974,-0.000001,0.012200,0.220000,2.000000,0.000000,6.282996
0.020000,0.010774,-0.000002,0.017000,0.260000,2.000000,0.000000,6.282846
0.020000,0.016374,-0.000004,0.022600,0.300000,2.000000,-0.000000,6.282674
0.020000,0.022774,-0.000008,0.029000,0.340000,2.000000,0.000000,6.282481
0.020000,0.029974,-0.000014,0.036200,0.380000,2.000000,-0.000000,6.282267
0.020000,0.037974,-0.000022,0.044200,0.420000,2.000000,0.000000,6.282036
0.020000,0.046774,-0.000033,0.053000,0.460000,2.000000,0.000000,6.281788
0.020000,0.056374,-0.000048,0.062600,0.500000,2.000000,-0.000000,6.281525
0.020000,0.066774,-0.000067,0.073000,0.540000,2.000000,0.000000,6.281249
0.020000,0.077974,-0.000090,0.084200,0.580000,2.000000,-0.000000,6.280963
0.020000,0.089974,-0.000119,0.096200,0.620000,2.000000,0.000000,6.280669
0.020000,0.102774,-0.000153,0.109000,0.660000,2.000000,0.000000,6.280368
0.020000,0.116374,-0.000193,0.122600,0.700000,2.000000,-0.000000,6.280065
0.020000,0.130774,-0.000240,0.137000,0.740000,2.000000,0.000000,6.279762
0.020000,0.145974,-0.000295,0.152200,0.780000,2.000000,0.000000,6.279461
0.020000,0.161974,-0.000357,0.168200,0.820000,2.000000,-0.000000,6.279166
0.020000,0.178774,-0.000427,0.185000,0.860000,2.000000,0.000000,6.278881
0.020000,0.196373,-0.000505,0.202600,0.900000,2.000000,0.000000,6.278608
0.020000,0.214773,-0.000591,0.221000,0.940000,2.000000,-0.000000,6.278351
0.020000,0.233973,-0.000687,0.240200,0.980000,2.000000,0.000000,6.278114
0.020000,0.253973,-0.000790,0.260200,1.020000,2.000000,0.000000,6.277901
0.020000,0.274772,-0.000902,0.281000,1.060000,2.000000,0.000000,6.277716
0.020000,0.296372,-0.001022,0.302600,1.100000,2.000000,0.000000,6.277563
0.020000,0.318772,-0.001149,0.325000,1.140000,2.000000,-0.000000,6.277447
0.020000,0.341971,-0.001283,0.348200,1.180000,2.000000,0.000000,6.277372
0.020000,0.365971,-0.001423,0.372200,1.220000,2.000000,0.000000,6.277343
0.020000,0.390771,-0.001568,0.397000,1.260000,2.000000,0.000000,6.277365
0.020000,0.416370,-0.001716,0.422600,1.300000,2.000000,0.000000,6.277443
0.020000,0.442770,-0.001866,0.449000,1.340000,2.000000,0.000000,6.277582
0.020000,0.469969,-0.002016,0.476200,1.380000,2.000000,-0.000000,6.277788
0.020000,0.497969,-0.002163,0.504200,1.420000,2.000000,0.000000,6.278067
0.020000,0.526769,-0.002306,0.533000,1.460000,2.000000,0.000000,6.278424
0.020000,0.556368,-0.002440,0.562600,1.500000,2.000000,0.000000,6.278865
0.020000,0.586768,-0.002564,0.593000,1.540000,2.000000,0.000000,6.279397
0.020000,0.617968,-0.002672,0.624200,1.580000,2.000000,0.000000,6.280027
0.020000,0.649968,-0.002762,0.656200,1.620000,2.000000,0.000000,6.280762
0.020000,0.682768,-0.002828,0.689000,1.660000,2.000000,-0.000000,6.281607
0.020000,0.716368,-0.002865,0.722600,1.700000,2.000000,0.000000,6.282572
0.020000,0.750768,-0.002867,0.757000,1.740000,2.000000,0.000000,0.000479
0.020000,0.785968,-0.002829,0.792200,1.780000,2.000000,0.000000,0.001705
0.020000,0.821968,-0.002744,0.828200,1.820000,2.000000,0.000000,0.003075
0.020000,0.858767,-0.002603,0.865000,1.860000,2.000000,0.000000,0.004597
0.020000,0.896367,-0.002399,0.902600,1.900000,2.000000,-0.000000,0.006281
0.020000,0.934766,-0.002122,0.941000,1.940000,2.000000,0.000000,0.008136
0.020000,0.973964,-0.001764,0.980200,1.980000,2.000000,0.000000,0.010173
0.020000,1.013762,-0.001315,1.020000,2.000000,1.000000,-50.000000,0.012390
0.020000,1.053758,-0.000773,1.060000,2.000000,0.000000,-50.000000,0.014772
0.020000,1.093753,-0.000132,1.100000,2.000000,0.000000,0.000000,0.017312
0.020000,1.133746,0.000614,1.140000,2.000000,0.000000,0.000000,0.020010
0.020000,1.173737,0.001471,1.180000,2.000000,0.000000,0.000000,0.022870
0.020000,1.213725,0.002446,1.220000,2.000000,0.000000,0.000000,0.025895
0.020000,1.253710,0.003545,1.260000,2.000000,0.000000,0.000000,0.029087
0.020000,1.293691,0.004775,1.300000,2.000000,0.000000,0.000000,0.032449
0.020000,1.333667,0.006143,1.340000,2.000000,0.000000,0.000000,0.035986
0.020000,1.373639,0.007655,1.380000,2.000000,0.000000,0.000000,0.039699
0.020000,1.413604,0.009320,1.420000,2.000000,0.000000,0.000000,0.043594
0.020000,1.453563,0.011144,1.460000,2.000000,0.000000,0.000000,0.047674
0.020000,1.493513,0.013135,1.500000,2.000000,0.000000,0.000000,0.051943
0.020000,1.533454,0.015300,1.540000,2.000000,0.000000,0.000000,0.056405
0.020000,1.573385,0.017648,1.580000,2.000000,0.000000,0.000000,0.061064
0.020000,1.613305,0.020185,1.620000,2.000000,0.000000,0.000000,0.065926
0.020000,1.653211,0.022921,1.660000,2.000000,0.000000,0.000000,0.070995
0.020000,1.693103,0.025863,1.700000,2.000000,0.000000,0.000000,0.076276
0.020000,1.732978,0.029020,1.740000,2.000000,0.000000,0.000000,0.081775
0.020000,1.772835,0.032400,1.780000,2.000000,0.000000,0.000000,0.087497
0.020000,1.812671,0.036013,1.820000,2.000000,0.000000,0.000000,0.093448
0.020000,1.852485,0.039868,1.860000,2.000000,0.000000,0.000000,0.099633
0.020000,1.892274,0.043974,1.900000,2.000000,0.000000,0.000000,0.106060
0.020000,1.932034,0.048340,1.940000,2.000000,0.000000,0.000000,0.112734
0.020000,1.971765,0.052977,1.980000,2.000000,0.000000,0.000000,0.119663
0.020000,2.011461,0.057894,2.020000,2.000000,0.000000,0.000000,0.126852
0.020000,2.051121,0.063102,2.060000,2.000000,0.000000,0.000000,0.134309
0.020000,2.090740,0.068610,2.100000,2.000000,0.000000,0.000000,0.142042
0.020000,2.130314,0.074430,2.140000,2.000000,0.000000,0.000000,0.150057
0.020000,2.169839,0.080573,2.180000,2.000000,0.000000,0.000000,0.158363
0.020000,2.209311,0.087050,2.220000,2.000000,0.000000,0.000000,0.166968
0.020000,2.248725,0.093873,2.260000,2.000000,0.000000,0.000000,0.175878
0.020000,2.288075,0.101052,2.300000,2.000000,0.000000,0.000000,0.185103
0.020000,2.327356,0.108600,2.340000,2.000000,0.000000,0.000000,0.194651
0.020000,2.366562,0.116530,2.380000,2.000000,0.000000,0.000000,0.204529
0.020000,2.405686,0.124853,2.420000,2.000000,0.000000,0.000000,0.214747
0.020000,2.444722,0.133582,2.460000,2.000000,0.000000,0.000000,0.225312
0.020000,2.483662,0.142730,2.500000,2.000000,0.000000,0.000000,0.236233
0.020000,2.522498,0.152310,2.540000,2.000000,0.000000,0.000000,0.247518
0.020000,2.561221,0.162335,2.580000,2.000000,0.000000,0.000000,0.259175
0.020000,2.599823,0.172817,2.620000,2.000000,0.000000,0.000000,0.271212
0.020000,2.638293,0.183771,2.660000,2.000000,0.000000,0.000000,0.283635
0.020000,2.676622,0.195209,2.700000,2.000000,0.000000,0.000000,0.296452
0.020000,2.714800,0.207146,2.740000,2.000000,0.000000,0.000000,0.309670
0.020000,2.752813,0.219593,2.780000,2.000000,0.000000,0.000000,0.323294
0.020000,2.790651,0.232565,2.820000,2.000000,0.000000,0.000000,0.337330
0.020000,2.828300,0.246075,2.860000,2.000000,0.000000,0.000000,0.351781
0.020000,2.865747,0.260135,2.900000,2.000000,0.000000,0.000000,0.366650
0.020000,2.902978,0.274758,2.940000,2.000000,0.000000,0.000000,0.381941
0.020000,2.939978,0.289957,2.980000,2.000000,0.000000,0.000000,0.397654
0.020000,2.976731,0.305743,3.020000,2.000000,0.000000,0.000000,0.413788
0.020000,3.013221,0.322127,3.060000,2.000000,0.000000,0.000000,0.430341
0.020000,3.049431,0.339121,3.100000,2.000000,0.000000,0.000000,0.447310
0.020000,3.085344,0.356734,3.140000,2.000000,0.000000,0.000000,0.464689
0.020000,3.120941,0.374975,3.180000,2.000000,0.000000,0.000000,0.482470
0.020000,3.156206,0.393854,3.220000,2.000000,0.000000,0.000000,0.500644
0.020000,3.191117,0.413377,3.260000,2.000000,0.000000,0.000000,0.519198
0.020000,3.225656,0.433550,3.300000,2.000000,0.000000,0.000000,0.538119
0.020000,3.259804,0.454380,3.340000,2.000000,0.000000,0.000000,0.557391
0.020000,3.293541,0.475869,3.380000,2.000000,0.000000,0.000000,0.576993
0.020000,3.326846,0.498021,3.420000,2.000000,0.000000,0.000000,0.596906
0.020000,3.359700,0.520836,3.460000,2.000000,0.000000,0.000000,0.617106
0.020000,3.392084,0.544315,3.500000,2.000000,0.000000,0.000000,0.637568
0.020000,3.423978,0.568455,3.540000,2.000000,0.000000,0.000000,0.658262
0.020000,3.455362,0.593253,3.580000,2.000000,0.000000,0.000000,0.679162
0.020000,3.486219,0.618704,3.620000,2.000000,0.000000,0.000000,0.700233
0.020000,3.516532,0.644802,3.660000,2.000000,0.000000,0.000000,0.721446
0.020000,3.546282,0.671539,3.700000,2.000000,0.000000,0.000000,0.742764
0.020000,3.575455,0.698905,3.740000,2.000000,0.000000,0.000000,0.764155
0.020000,3.604035,0.726889,3.780000,2.000000,0.000000,0.000000,0.785582
0.020000,3.632008,0.755479,3.820000,2.000000,0.000000,0.000000,0.807010
0.020000,3.659363,0.784662,3.860000,2.000000,0.000000,0.000000,0.828405
0.020000,3.686089,0.814423,3.900000,2.000000,0.000000,0.000000,0.849731
0.020000,3.712175,0.844745,3.940000,2.000000,0.000000,0.000000,0.870956
0.020000,3.737614,0.875612,3.980000,2.000000,0.000000,0.000000,0.892045
0.020000,3.762399,0.907007,4.020000,2.000000,0.000000,0.000000,0.912969
0.020000,3.786524,0.938912,4.060000,2.000000,0.000000,0.000000,0.933697
0.020000,3.809987,0.971307,4.100000,2.000000,0.000000,0.000000,0.954203
0.020000,3.832785,1.004174,4.140000,2.000000,0.000000,0.000000,0.974460
0.020000,3.854916,1.037492,4.180000,2.000000,0.000000,0.000000,0.994445
0.020000,3.876382,1.071243,4.220000,2.000000,0.000000,0.000000,1.014138
0.020000,3.897185,1.105407,4.260000,2.000000,0.000000,0.000000,1.033518
0.020000,3.917327,1.139965,4.300000,2.000000,0.000000,0.000000,1.052571
0.020000,3.936814,1.174897,4.340000,2.000000,0.000000,0.000000,1.071282
0.020000,3.955650,1.210184,4.380000,2.000000,0.000000,0.000000,1.089638
0.020000,3.973840,1.245807,4.420000,2.000000,0.000000,0.000000,1.107630
0.020000,3.991394,1.281749,4.460000,2.000000,0.000000,0.000000,1.125251
0.020000,4.008320,1.317992,4.500000,2.000000,0.000000,0.000000,1.142495
0.020000,4.024623,1.354517,4.540000,2.000000,0.000000,0.000000,1.159357
0.020000,4.040317,1.391310,4.580000,2.000000,0.000000,0.000000,1.175836
0.020000,4.055408,1.428352,4.620000,2.000000,0.000000,0.000000,1.191931
0.020000,4.069910,1.465632,4.660000,2.000000,0.000000,0.000000,1.207644
0.020000,4.083830,1.503131,4.700000,2.000000,0.000000,0.000000,1.222974
0.020000,4.097181,1.540836,4.740000,2.000000,0.000000,0.000000,1.237926
0.020000,4.109974,1.578734,4.780000,2.000000,0.000000,0.000000,1.252505
0.020000,4.122220,1.616813,4.820000,2.000000,0.000000,0.000000,1.266714
0.020000,4.133931,1.655060,4.860000,2.000000,0.000000,0.000000,1.280560
0.020000,4.145119,1.693463,4.900000,2.000000,0.000000,0.000000,1.294049
0.020000,4.155793,1.732012,4.940000,2.000000,0.000000,0.000000,1.307187
0.020000,4.165968,1.770697,4.980000,2.000000,0.000000,0.000000,1.319982
0.020000,4.175653,1.809507,5.020000,2.000000,0.000000,0.000000,1.332442
0.020000,4.184860,1.848432,5.060000,2.000000,0.000000,0.000000,1.344574
0.020000,4.193580,1.887373,5.099906,1.990553,-0.472342,-23.617102,1.356359
0.020000,4.201769,1.926031,5.139422,1.961106,-1.472342,-50.000000,1.367723
0.020000,4.209391,1.964098,5.178244,1.921106,-2.000000,-26.382898,1.378600
0.020000,4.216459,2.001457,5.216266,1.881106,-2.000000,0.000000,1.388982
0.020000,4.223007,2.038098,5.253489,1.841106,-2.000000,0.000000,1.398894
0.020000,4.229066,2.074013,5.289911,1.801106,-2.000000,0.000000,1.408359
0.020000,4.234668,2.109192,5.325533,1.761106,-2.000000,0.000000,1.417397
0.020000,4.239839,2.143627,5.360355,1.721106,-2.000000,0.000000,1.426029
0.020000,4.244608,2.177313,5.394377,1.681106,-2.000000,0.000000,1.434274
0.020000,4.249000,2.210245,5.427599,1.641106,-2.000000,-0.000000,1.442149
0.020000,4.253038,2.242414,5.460021,1.601106,-2.000000,0.000000,1.449672
0.020000,4.256745,2.273818,5.491643,1.561106,-2.000000,0.000000,1.456857
0.020000,4.260144,2.304453,5.522466,1.521106,-2.000000,0.000000,1.463721
0.020000,4.263254,2.334312,5.552488,1.481106,-2.000000,0.000000,1.470276
0.020000,4.266095,2.363395,5.581710,1.441106,-2.000000,0.000000,1.476536
0.020000,4.268686,2.391699,5.610132,1.401106,-2.000000,-0.000000,1.482514
0.020000,4.271042,2.419221,5.637754,1.361106,-2.000000,0.000000,1.488222
0.020000,4.273182,2.445957,5.664576,1.321106,-2.000000,0.000000,1.493669
0.020000,4.275119,2.471906,5.690598,1.281106,-2.000000,0.000000,1.498866
0.020000,4.276869,2.497068,5.715820,1.241106,-2.000000,0.000000,1.503823
0.020000,4.278446,2.521439,5.740243,1.201106,-2.000000,0.000000,1.508550
0.020000,4.279862,2.545020,5.763865,1.161106,-2.000000,-0.000000,1.513054
0.020000,4.281130,2.567806,5.786687,1.121106,-2.000000,0.000000,1.517343
0.020000,4.282262,2.589799,5.808709,1.081106,-2.000000,0.000000,1.521425
0.020000,4.283268,2.610997,5.829931,1.041106,-2.000000,0.000000,1.525307
0.020000,4.284159,2.631400,5.850353,1.001106,-2.000000,0.000000,1.528996
0.020000,4.284944,2.651006,5.869975,0.961106,-2.000000,0.000000,1.532497
0.020000,4.285634,2.669815,5.888797,0.921106,-2.000000,-0.000000,1.535817
0.020000,4.286236,2.687827,5.906820,0.881106,-2.000000,0.000000,1.538960
0.020000,4.286758,2.705041,5.924042,0.841106,-2.000000,-0.000000,1.541932
0.020000,4.287209,2.721457,5.940464,0.801106,-2.000000,0.000000,1.544738
0.020000,4.287596,2.737076,5.956086,0.761106,-2.000000,0.000000,1.547382
0.020000,4.287924,2.751893,5.970908,0.721106,-2.000000,-0.000000,1.549868
0.020000,4.288201,2.765913,5.984930,0.681106,-2.000000,0.000000,1.552199
0.020000,4.288433,2.779133,5.998152,0.641106,-2.000000,0.000000,1.554380
0.020000,4.288624,2.791554,6.010574,0.601106,-2.000000,-0.000000,1.556414
0.020000,4.288780,2.803174,6.022197,0.561106,-2.000000,0.000000,1.558303
0.020000,4.288906,2.813996,6.033019,0.521106,-2.000000,0.000000,1.560050
0.020000,4.289005,2.824017,6.043041,0.481106,-2.000000,-0.000000,1.561659
0.020000,4.289083,2.833239,6.052263,0.441106,-2.000000,0.000000,1.563131
0.020000,4.289142,2.841661,6.060685,0.401106,-2.000000,0.000000,1.564468
0.020000,4.289185,2.849283,6.068307,0.361106,-2.000000,0.000000,1.565672
0.020000,4.289217,2.856106,6.075129,0.321106,-2.000000,-0.000000,1.566746
0.020000,4.289238,2.862128,6.081151,0.281106,-2.000000,0.000000,1.567691
0.020000,4.289252,2.867349,6.086374,0.241106,-2.000000,-0.000000,1.568507
0.020000,4.289261,2.871773,6.090796,0.201106,-2.000000,0.000000,1.569196
0.020000,4.289266,2.875394,6.094418,0.161106,-2.000000,0.000000,1.569759
0.020000,4.289268,2.878215,6.097240,0.121106,-2.000000,-0.000000,1.570197
0.020000,4.289269,2.880238,6.099262,0.081106,-2.000000,0.000000,1.570511
0.020000,4.289269,2.881461,6.100484,0.041106,-2.000000,-0.000000,1.570700
0.020000,4.289269,2.881979,6.101001,0.010553,-1.527658,23.617102,1.570780
0.020000,4.289269,2.882084,6.101106,0.000000,-0.527658,50.000000,1.570796
0.020000,4.289269,2.882084,6.101106,0.000000,0.000000,26.382898,1.570796
